Vf,mflux_part,phi
5.15,0,0.00056
5.96,0,0.00043
8.01,0,0.00026
10.13,0,0.00019
3.81,10.5,0.00264
4.90,10.5,0.00131
6.24,10.5,0.00088
8.01,10.5,0.00058
9.81,10.5,0.00044
12.32,10.5,0.00035
5.30,19.6,0.00276
5.90,19.6,0.00244
8.26,19.6,0.00111
10.41,19.6,0.00089
4.82,31.8,0.00621
8.23,31.8,0.00207
10.52,31.8,0.00141
12.25,31.8,0.00119
6.68,31.8,0.00312
6.48,49.1,0.00683
8.23,49.1,0.00344
10.07,49.1,0.00256
12.71,49.1,0.00183
6.56,59,0.0077
8.06,59,0.00479
10.88,59,0.00279
12.29,59,0.00224
9.02,80.7,0.00552
10.60,80.7,0.00384
12.61,80.7,0.00303
11.08,141,0.0087
