Vf,mflux_part,Vsl
5.149280868,5.1,1.587274646
5.90503648,5.1,1.300179957
8.142877736,5.1,0.972513497
10.08340347,5.1,0.516598388
3.802735165,10.5,2.200873281
4.919344714,10.5,1.686251168
6.300849566,10.5,1.37895197
8.009421021,10.5,0.715690697
9.854378729,10.5,0.753914188
12.35594347,10.5,0.455705856
5.286513432,19.6,2.417217311
5.880623666,19.6,2.594663591
8.275878745,19.6,1.160166658
10.35350684,19.6,1.51443146
4.794481309,31.8,2.733770129
6.704084147,31.8,2.584200957
8.281217014,31.8,1.97043957
10.51619383,31.8,1.207992523
12.23094987,31.8,1.483462062
6.413864618,49.1,3.533022399
8.251465931,49.1,2.454650292
10.09603303,49.1,2.433585522
12.66256841,49.1,1.996991411
6.545238106,59,3.473641136
8.024784818,59,3.047695663
10.81995434,59,2.314497491
12.29911044,59,1.829263756
9.046282045,80.7,3.096381789
10.62100618,80.7,2.117009454
12.62904148,80.7,1.908082269
11.06499389,141,4.508000428
